x,y
0.33,3.83
0.711,7.81
0.6225,5.6162
0.6133,6.2452
0.4019,4.4624
0.3896,5.153
0.3969,4.4922
0.4651,5.6091
0.3768,5.1912
0.5348,5.9538
0.6585,6.8642
0.576,6.0167
0.3766,5.5323
0.417,5.2922
0.4898,5.6116
0.3414,4.6588
0.5612,4.973
0.5391,5.9271
0.676,6.7995
0.5129,5.3192
0.5382,5.6283
0.4205,4.4753
0.4855,6.8356
0.6676,6.306
0.5938,6.4469
0.4368,4.7934
0.6614,7.4595
0.615,6.6712
0.3765,4.1163
0.3759,4.8332
0.601,6.3867
0.4257,4.7762
0.4997,4.676
0.4842,4.0031
0.5241,5.8662
0.4227,5.1326
0.3576,4.6471
0.3496,4.0322
0.4184,4.7563
0.4753,5.6804
